Open,High,Low,Close,Adj Close,Volume
85100,85300,83000,83600,83230.14844,33498180
83500,84000,82800,84000,83628.38281,19882132
82600,83200,82200,82400,82035.46094,24348331
81100,82600,81100,82100,81736.78906,20508971
82900,83000,81600,82000,81637.22656,17641256
81400,81900,80600,81400,81039.88281,25420764
82400,82500,80700,80900,80542.09375,20038422
81000,82500,81000,82000,81637.22656,23818297
83100,83500,82400,82800,82433.6875,13530573
82800,82900,81800,81800,81438.11719,13735798
82200,83000,82100,82800,82433.6875,12293537
82800,82900,82000,82300,81935.89844,11625146
82800,83800,82600,82900,82533.25,18585244
82100,82500,81800,81900,81537.67188,15869700
82000,82300,81700,82000,81637.22656,12670506
82600,82900,81800,81800,81438.11719,13299907
81000,81600,80700,81000,80641.65625,17926638
81000,82100,80800,81200,80840.76563,14758826
81400,81600,81000,81500,81139.4375,12845778
81700,81700,81000,81600,81239,14952134
81600,82300,81300,82200,82200,13121698
82400,82700,81400,81400,81400,17240518
82500,83000,82000,82900,82900,18676461
84000,85200,83900,84800,84800,22997538
85800,86000,84800,85400,85400,16255990
86200,86200,85100,86000,86000,19042023
86100,86200,85400,85600,85600,17885538
85700,85700,84100,84700,84700,19244259
84700,84900,83400,83600,83600,18193707
84100,84100,83100,83200,83200,12915282
83000,84500,82800,84000,84000,15238206
84000,84300,83400,84000,84000,13794652
83700,84500,83400,84100,84100,16377412
84700,84700,83600,83900,83900,15429522
83800,84000,83300,83300,83300,15287311
83300,84000,83100,83900,83900,15521965
83300,83500,82500,82600,82600,21636079
82900,83000,82400,82400,82400,13934746
81900,82900,81600,82800,82800,17805080
82900,83500,82600,83500,83500,15489938
83200,83300,82500,82900,82900,12941533
83200,83200,82100,82100,82100,15596759
82400,82500,81500,81700,81700,20000973
81900,82100,81500,81500,81500,18673197
81000,82400,81000,81700,81700,15710336
81900,82600,81800,82600,82600,12532550
81700,82300,81700,82300,82300,17047511
81800,82100,81500,81900,81900,14154882
82300,83500,81800,83200,83200,19385027
82500,82600,81100,81200,81200,28996680
80800,81200,79800,80000,80000,35812268
78900,79600,78400,78500,78500,31490096
79000,80300,78900,80100,80100,16450920
80800,80900,79200,79600,79600,17740855
79600,80000,79100,79600,79600,17494407
79400,79700,79100,79500,79500,16541828
80100,81500,79800,80100,80100,20961714
80100,80400,79500,79700,79700,13398666
80000,80400,79800,79900,79900,13628942
80400,80500,79700,79800,79800,11984359
80000,80000,79100,79600,79600,23198510
79800,80400,79400,80100,80100,12360199
80300,80600,79600,80500,80500,13321324
80500,81300,80100,80600,80600,14058401
80400,81400,80300,80800,80800,16414644
81300,83000,81100,82800,82800,29546007
82700,82700,81500,82200,82200,18112259
82700,82800,81600,81900,81900,16496197
82300,82600,81800,81900,81900,12781226
81500,82000,81100,81100,81100,14908823
81300,81400,80900,81000,81000,17586995
